favorite_count,retweet_count,texts,china,billion,products,democrats,great,dollars,tariffs,country,mueller,border,president,congressman,people,korea,party,years,farmers,going,trade,never,positive_count,negative_count,label
94389,26942,sad see happening new york governor cuomo mayor deblasio letting criminal hardened bad onto sidewalk rapidly declining city radical left dems killing city nypd commissioner resigning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1
34773,11310,find polling location,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11973,4032,sad see happening new york governor cuomo mayor deblasio letting criminal hardened bad onto sidewalk rapidly declining city radical left dems killing city nypd chief resigning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1
193828,48313,time mexico help united state wage war drug cartel wipe face earth merely await call great new president,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
73627,19524,monster united state stand ready willing able get involved job quickly effectively great new president mexico made big issue cartel become large powerful sometimes need army defeat army,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,2,0
82726,23480,wonderful family friend utah got caught two vicious drug cartel shooting result many great american people killed including young child missing mexico need request help cleaning,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0
65984,15466,impeachment hoax fired voter kentucky mississippi louisiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
48880,11813,fantastic great state kentucky last night vote matt bevin one best governor u never let,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1
0,23957,rt hope everyone great state virginia get vote tuesday local state election,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0,19828,rt virginia best unemployment economic number history state democrat get nu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0,15030,rt great republican geary higgins complete total endorsement virginia senate th district strong,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1
0,14602,rt louisiana get vote early next governor lower tax car insurance protect,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0,26872,rt whistleblower gave false information dealt corrupt politician schiff must brought forward testify,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
0,22200,rt approval rating republican party thank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1
0,21256,rt alltime high stock market fake news want talk impeachment hoax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
0,27267,rt son coming new book triggered left thrives hate want silence u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0,20108,rt virginia massive amount defense work brought everything planned go,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0,2909,rt zimmerman present trump customized national jersey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,4089,rt unbelievable honor dream ryan zimmerman say white house go thank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
0,10005,rt ryan zimmerman presented president #45 jersey ⚾,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,9512,rt love thank mr president washington national catcher kurt suzuki say putting make america great h,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1
0,3947,rt stu none change #impeachment drive secret hearing continue contempt elite hav,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
30853,7984,nothing dems gone radical left crazy cant get anything done,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
0,3947,rt stu crunch time angry left taken party socialist taken preside,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,4179,rt stu impeachment viscous politics fail voter wont forget #ImpeachmentHearings #Politics #Markets #M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,3105,rt stu throw strong #profits #tradedeals #economicgrowth still come see record high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
81442,20108,virginia massive amount defense work brought everything planned go vote republican today know dems saying vote locked would mean long slide vote republican today,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
93257,21256,alltime high stock market fake news want talk impeachment hoax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
94430,20027,read transcript,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46230,13752,big rally kentucky tonight man worked really hard done great job gov kentucky best economic year ever matt leadership fantastic guy love military vet oura vote tuesday,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
46467,10410,dont like using name build consulting company whatever please advise client administration official accordingly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
61165,14075,many people say know claiming best friend really close etc dont know people happens suppose become president stated dont know best knowledge man named michael esposito,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,1
125630,24278,stock market hit record high spend money well,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
67851,18660,whistleblower someone agenda donald trump blowing whistle didnt happen transcript call farce republican forget,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
133614,22133,approval rating republican party thank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1
96354,26795,whistleblower gave false information dealt corrupt politician schiff must brought forward testify written answer acceptable thend whistleblower disappeared released transcript even exist informant con,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
92679,21611,said phone call ukrainian president perfectly stated reason call witness analyze word meaning another democrat hoax live day got elected disgraceful,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0
69323,18156,mark levin great lawyer scholar said last night read transcript call need never trumpers witness say mean say plainly well stated see witch hunt,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
92852,23443,great know mistweet may something deep meaning,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
88249,19073,stock market big record high sp nasdaq enjoy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
41990,11752,republican candidate successful conservative businessman stand create job protect second amendment get vote eddie next governor great state louisiana,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1
58078,16916,louisiana extreme democrat john bel edward sided nancy pelosi chuck schumer support sanctuary city high tax open border crushing louisiana economy second amendment right,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1
3560,1034,louisiana ill see tonight big rally eddie r great governor early voting start,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
50301,13309,public watching seeing unfair process corrupt politician pelosi schiff trying take republican party never happen take back house,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
64284,16937,adam schiff taken power unfair dozen people call yesterday witness knew problem fact matter thats impeachment guy lewis former prosecutor,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
243303,42212,isi new leader know exactly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
39025,8897,democrat need much,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
52533,13843,democrat immersed scam couldnt care le american people,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
101441,24349,wow blowout job number adjusted revision general motor strike far greater expectation usa rock,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
73728,17544,chicago never stop crime wave current superintendent police wont happen thank kevin graham great chicago police officer privilege meet tremendous crime fighting potential allowed thing,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0
70163,19333,biggest disgusting scandal democrat party highjacked impeachment process tax dollar house representative push election thats whats going cannot said better,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2,1
73286,17886,year donald trump hasnt done anything wrong donald trump hasnt done single thing accused witch hunt like,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
47812,12223,thanks lee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
181124,37849,greatest witch hunt american history,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
105620,24450,impeachment hoax hurting stock market nothing democrat dont care,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
47363,11956,manufacturer lower interest rate germany japan others far biggest strongest country fed put u competitive disadvantage china problem federal reserve win anyway,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0
59982,14896,people disappointed jay powell federal reserve fed called wrong beginning fast slow even tightened beginning others running circle around laughing way bank dollar rate hurting,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,0
105864,23892,read transcript,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77931,18291,china usa working selecting new site signing phase one trade agreement total deal apec chile canceled unrelated circumstance new location announced soon president xi president trump signing,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
0,7072,rt reality political ad usually arguably true arguably false get decide whats true whats,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
47571,12444,congratulation left dust thats dont tell truth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
0,5151,rt 🎉 🍾 congratulation #1 show cable news saturday49 54 demo alsom tuned king,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,9926,rt joe biden repeatedly asked agency son client wanted,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5752,rt headliner responds joe biden beto orourkes criticism president trump taking credit,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0,13023,rt time msm would gone feeding frenzy congressman stopped party,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
0,6388,rt watch joe biden wrongest person earth talking albaghdadis raid he man opposed raid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32375,8297,thank matt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
42843,10401,never allowed roll winter showtrial indeed allowing long drawn trial senate would merely validate perpetuate fraud begun house crisis democrat making republican make sure never happens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
42843,10401,never allowed roll winter showtrial indeed allowing long drawn trial senate would merely validate perpetuate fraud begun house crisis democrat making republican make sure never happens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
39969,9513,president either party laura,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0
39969,9513,president either party laura,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
83393,21523,time republican stand together defend leader party smear would one thing indication underlying crime notnot transcript secret witness testimony,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0
83393,21523,time republican stand together defend leader party smear would one thing indication underlying crime notnot transcript secret witness testimony,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0
23928,6735,dems selectively leaked corrupt intent part president remember president knew call heard documented many people anyone intent would tad discreet dont think farce,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0
23928,6735,dems selectively leaked corrupt intent part president remember president knew call heard documented many people anyone intent would tad discreet dont think farce,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0
53977,14081,united state military congress need work need fund armed force mitch mcconnell dems lost cause need big beautiful win three #MAGA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1
76458,20710,country cannot afford democrat congress take one year vacation productive legislation would rather ob impeachment isi radical terrorist going hit pause button democrat wont fund,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1
52981,14174,precisely program democrat trying impeach president trump supposedly slow walking tomorrow right senate dems say theyre going filibuster exact program mitch mcconnell nothing democrat,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,2,1
93682,22297,yesterday never trumper witness could find quid pro quo transcript phone call many people listening call come including president ukraine found nothing wrong witch hunt,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0
109926,26524,federal judge allowing nick sandman libel suit move forward thoroughly disgusting washington post longer available white house could good chance winning go nick,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1
65690,16428,appear nancy pelosi retaining speakership next congress would like shes going put vote thats political left really want disgraceful use impeachment backfire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
137028,25215,greatest economy american history,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,33611,rt nervous nancy pelosi everything possible destroy republican party poll show going,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0
0,52046,rt confirmed abu bakr albaghdadis number one replacement terminated american troop likely,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,24845,rt approval rating republican party record thank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0
60207,13694,republican unified energized fight impeachment hoax nothing democrat starting go substance even infair process casual reading transcript lead everybody see,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
60207,13694,republican unified energized fight impeachment hoax nothing democrat starting go substance even infair process casual reading transcript lead everybody see,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
47158,10478,call ukrainian president totally appropriate one said pressure impeachment nonsense continuation witch hunt hoax going since even got elected rupublicans go substance close,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0
47158,10478,call ukrainian president totally appropriate one said pressure impeachment nonsense continuation witch hunt hoax going since even got elected rupublicans go substance close,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,2,0
134978,33535,nervous nancy pelosi everything possible destroy republican party poll show going opposite nothing dems lose many seat death wish led corrupt politician adam schiff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,5,0
63299,16146,europe japan negative rate get paid borrow money dont follow competitor yes fed doesnt clue unlimited potential held back federal reserve winning anyway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
20765,5374,nervous nancy pelosi everything possible destroy republican party poll show going oppidite nothing dems lose many seat death wish led corrupt politician adam schiff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,5,0
64181,14244,consumer confidence number good housing sale september nicely economy rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
71877,19579,great new book plot president true story congressman devin nunez uncovered biggest political scandal u history show bad corrupt people side check,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,4,1
252377,52002,confirmed abu bakr albaghdadis number one replacement terminated american troop likely would taken top spot also dead,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
146241,24791,approval rating republican party record thank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0
81872,20603,supposedly according corrupt medium ukraine call concerned today never trumper witness call cant possible please ask read transcript call witch hunt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
0,14158,rt inauguration day team trump zero idea many career staff working inside admin wh state ic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,11285,rt left loses power answer always limit speech never work,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0
109625,24774,many never trumpers allowed testify perfectly appropriate phone call anyone read transcript knew people listening call would say something inappropriate fine many,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,1,0
70406,17862,nothing democrat working hard make everyone forget best economy ever monumental weekend raid tax cut rebuilding military etc impeachment hoax disgrace read transcript,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1
79745,18825,wheres whistleblower read transcript everything else made garbage shifty schiff never trumpers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
0,16865,rt democrat continue leak false narrative here actual witness interview would show aid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
0,7162,rt democrat undermined fairness unauthorized impeachment inquisition,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0,5123,rt recognizing officer year finalist heroism commitment keeping community,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,7584,rt ship already sailed fair transparent process poisoned well day one th,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
0,11863,rt house democrat suddenly saying theyll vote impeachment resolution ensure transparency rich consider,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,8730,rt schiffstyle impeachment dems hide testimony behind secure door leak info vital false narrative driving,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
0,14415,rt speaker pelosis announcement today acknowledges adam schiffs freewheeling impeachment inquiry devoid rule l,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,5739,rt live look house democrat trying impeach president first russia obstruction ukraine de,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0
0,8686,rt vote bit like unringing bell house democrat selectively leaked information order damage p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0,15149,rt pelosi let schiff hold secret hearing leak misleading info attack week want v,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
0,17389,rt weve learned house democrat moving public impeachment hearing intelligence committee taking,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,16419,rt thank finally acknowledging fact attempted deceive american people th,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
0,8546,rt im happy house democrat finally decided hold vote open formal impeachment inquisition,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,7188,rt democrat counter republican complaining process cant address substance process,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,8528,rt mark spot ukraine didnt even know hold aid released schiff may,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,7738,rt pelosi say vote thu authorize impeachment inquiry include minority subpoena ri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,7472,rt schiffs magician taylorsnd rd th hand claim dont becomest hand bc slippery fella say,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38190,9007,great book great guy get,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
0,7403,rt congratulation new book plot president,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
0,6567,rt plot president true story congressman devin nunes uncovered biggest political scandal,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0
38962,9678,correct total scam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0,18144,rt pelosi announces theyll finally vote open impeachment inquiry codifying sham process halfway doesnt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,6370,rt dems plan cut even house member ridiculous unfair biased impeachment process schiffs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
51317,13670,people never even heard testifying call read call transcript impeachment hoax ukrain said pressure,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
0,7495,rt trump called he getting practically standing ovation chicago he standing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0,4914,rt nationwide injunction undermine entire immigration system job judge impose th,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
0,22194,rt crime impeachment hoax committed shifty adam schiff totally made phone convers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
0,5238,rt swamp boo trump middle america cheer #IngrahamAngle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,15705,rt idea politician need briefed military operation young men woman risking life ri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4396,rt pres denounces attack police officer attack law enforcement attack american say,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
0,4707,rt speech iacp one pro america pro law enforcement platform ive ever heard p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144681,31731,sp hit time high big win job k frankly everyone country great even killed long sought isi murderer albaghdadi stronger ever great upward potential enjoy,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,2,1
94045,23617,donald j trump absolutely historic president already le year office record everyone look examine compare illegitimate effort overthrow president formal impeachment inquiry thank lou,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1
64755,14964,turkey fully understands fire kurd leave known safe zone fairly nearby area dont repeat large scale sanction imposed violation going well isi secured kurd turkey ready backup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,0
64755,14964,turkey fully understands fire kurd leave known safe zone fairly nearby area dont repeat large scale sanction imposed violation going well isi secured kurd turkey ready backup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0
64755,14964,turkey fully understands fire kurd leave known safe zone fairly nearby area dont repeat large scale sanction imposed violation going well isi secured kurd turkey ready backup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0
47439,10609,usa gained trillion dollar wealth since november others way power economic use newly rebuilt military much better alternative oil secured soldier left leaving syria place,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
47439,10609,usa gained trillion dollar wealth since november others way power economic use newly rebuilt military much better alternative oil secured soldier left leaving syria place,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
47439,10609,usa gained trillion dollar wealth since november others way power economic use newly rebuilt military much better alternative oil secured soldier left leaving syria place,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
53449,12483,coming home supposed day year ago pundit fool called middle east wrong year ask getting deal simply say oil bringing soldier back home isi secured,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
53449,12483,coming home supposed day year ago pundit fool called middle east wrong year ask getting deal simply say oil bringing soldier back home isi secured,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
53449,12483,coming home supposed day year ago pundit fool called middle east wrong year ask getting deal simply say oil bringing soldier back home isi secured,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
60462,12965,congressman tim ryan ohio finally dropped race president registering zero poll unable even qualify debate stage see tim easy dont know youre wasnt effective usa worker talk,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,1,1
70126,16047,another big dropout presidential race along tim ryan talk bravado nothing show stood nothing voter couldnt stand obnoxious greedy politician never make end,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4,1
73405,17920,oil field discussed speech turkeykurds yesterday held isi united state took help kurd never let reconstituted isi field,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
103828,24618,thank house republican tough smart understanding detail greatest witch hunt american history going since long even got elected insurance policy total scam,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,1
83944,22576,federal reserve derelict duty doesnt lower rate even ideally stimulate take look around world competitor germany others actually getting paid borrow money fed way fast raise way slow cut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1
130416,28228,wheres whistleblower,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
